,data_properties.twitter_followers,data_properties.facebook_followers,data_properties.instagram_followers,data_properties.ppp_country
1284,71829,5615,20990,42609
1285,531943,919143,298519,57467
1286,268209,336815,70579,42609
1287,99661,119604,26,42609
1288,398419,722268,67773,42609
1289,485859,400984,0,57467
1290,485330,176734,55991,57467
1291,344135,305235,99840,57467
1292,168611,294530,18816,42609
1293,467499,2110681,677259,57467
1294,38994,12019,8044,42609
1295,389530,2268600,515079,57467
1296,433975,114509,167874,42609
1297,425466,309261,88413,57467
1298,406790,349013,160714,57467
1299,122829,230229,30346,42609
1300,390619,227904,74190,57467
1301,235309,344302,0,42609
1302,385000,330013,113201,57467
1303,96783,147839,21689,42609
1304,316897,262750,94500,42609
1305,332966,333260,72330,57467
1306,191235,1084193,45643,42609
1307,183907,173243,43366,42609
1308,259365,390583,192829,42609
1309,349990,719551,207884,57467
1310,332318,224584,86937,57467
1311,336361,262521,108971,42609
1312,194882,337440,115706,57467
1313,59555,83631,6490,42609
1314,128108,147619,36583,42609
1315,75584,38978,15433,42609
1316,47845,50270,12818,42609
1317,293161,354736,39710,42609
1318,111539,136770,17888,42609
1319,108780,238691,0,42609
1320,259772,175078,54655,57467
1321,47255,37547,14238,42609
1322,272961,276278,32620,42609
1323,253837,391222,4501,42609
1324,252320,472855,100562,42609
1325,87459,18246,13614,42609
1326,15944,131426,12282,42609
1327,116483,88309,0,42609
1328,61747,23262,10818,42609
1329,207569,13784996,0,36305
1330,205292,1015397,122575,57467
1331,199502,275216,29261,42609
1332,7713,80705,12992,42609
1333,193290,324278,167378,57467
1334,180342,4924257,423612,42609
1335,118624,147038,6881,42609
1336,35136,44437,12436,42609
1337,64960,104351,18744,42609
